match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,player_of_match,umpire1,umpire2,tv_umpire,match_referee
1168822,2019,15/02/2019,Dubai,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,6,Umar Akmal,Shozab Raza,RK Illingworth,Rashid Riaz,RS Mahanama
1168823,2019,16/02/2019,Dubai,Dubai International Cricket Stadium,Islamabad United,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,5,Ali Shafiq,REJ Martinesz,Asif Yaqoob,MA Gough,
1168824,2019,16/02/2019,Dubai,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,runs,22,Haris Rauf,Shozab Raza,RK Illingworth,Rashid Riaz,RS Mahanama
1168825,2019,17/02/2019,Dubai,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,7,SR Watson,REJ Martinesz,Asif Yaqoob,MA Gough,Mohammed Anees
1168826,2019,17/02/2019,Dubai,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,7,Hasan Ali,RK Illingworth,Rashid Riaz,Shozab Raza,RS Mahanama
1168827,2019,20/02/2019,Sharjah,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,8,SR Watson,Asif Yaqoob,Shozab Raza,Rashid Riaz,Mohammed Anees
1168828,2019,21/02/2019,Sharjah,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,runs,44,Imam-ul-Haq,RK Illingworth,Rashid Riaz,Asif Yaqoob,Mohammed Anees
1168829,2019,22/02/2019,Sharjah,Sharjah Cricket Stadium,Lahore Qalandars,Multan Sultans,Lahore Qalandars,field,Lahore Qalandars,wickets,6,AB de Villiers,REJ Martinesz,Shozab Raza,Rashid Riaz,RS Mahanama
1168830,2019,22/02/2019,Sharjah,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,runs,12,Mohammad Sami,MA Gough,RK Illingworth,Asif Yaqoob,Mohammed Anees
1168831,2019,23/02/2019,Sharjah,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,3,Sarfraz Ahmed,REJ Martinesz,Shozab Raza,Rashid Riaz,RS Mahanama
1168832,2019,23/02/2019,Sharjah,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Islamabad United,field,Islamabad United,wickets,7,L Ronchi,Asif Yaqoob,RK Illingworth,MA Gough,Mohammed Anees
1168833,2019,24/02/2019,Sharjah,Sharjah Cricket Stadium,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,5,Hasan Ali,REJ Martinesz,Shozab Raza,Rashid Riaz,RS Mahanama
1168834,2019,24/02/2019,Sharjah,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,field,Karachi Kings,wickets,6,CA Ingram,RK Illingworth,Ahsan Raza,Asif Yaqoob,Mohammed Anees
1168835,2019,26/02/2019,Dubai,Dubai International Cricket Stadium,Islamabad United,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,6,DT Christian,RK Illingworth,Ahsan Raza,Asif Yaqoob,RS Mahanama
1168836,2019,27/02/2019,Dubai,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Lahore Qalandars,wickets,8,,REJ Martinesz,Shozab Raza,Asif Yaqoob,Mohammed Anees
